"Date","t.amb.mean","t.os.mean"
2019-07-31,11.5075492957746,11.3709280125196
2019-08-01,10.4633773148148,10.3786134259259
2019-08-02,9.56790046296296,9.42920138888889
2019-08-03,8.49737615740741,8.41121412037037
2019-08-04,8.98797569444444,8.87782407407407
2019-08-05,9.72528703703704,9.60159490740741
2019-08-06,6.38644212962963,6.30633680555556
2019-08-07,7.84437268518518,7.76525578703704
2019-08-08,10.9577685185185,10.860224537037
2019-08-09,14.1068634259259,14.112349537037
2019-08-10,11.4161388888889,11.4236979166667
2019-08-11,10.5120625,10.4861168981481
2019-08-12,11.3229733796296,11.2418715277778
2019-08-13,6.26583796296296,6.12150231481481
2019-08-14,6.61913657407407,6.49859027777778
2019-08-15,7.68901273148148,7.60502199074074
2019-08-16,9.87707060185185,9.83486111111111
2019-08-17,10.5256782407407,10.4124293981481
2019-08-18,11.3734895833333,11.301005787037
2019-08-19,11.6076979166667,11.6188831018519
2019-08-20,9.27029050925926,9.21774305555556
2019-08-21,15.6820972222222,15.6676516203704
2019-08-22,14.7473402777778,14.6959375
2019-08-23,7.80067708333333,7.64623148148148
2019-08-24,9.222,9.16856597222222
2019-08-25,11.9251319444444,12.0009027777778
2019-08-26,12.9259143518519,12.9048958333333
2019-08-27,13.4359768518519,13.3878599537037
2019-08-28,12.5278287037037,12.4419201388889
2019-08-29,8.63841087962963,8.5743912037037
2019-08-30,12.2483564814815,12.2284953703704
2019-08-31,14.5057800925926,14.46925
2019-09-01,12.8496689814815,12.7197164351852
2019-09-02,11.80428125,11.7209363425926
2019-09-03,13.476087962963,13.420412037037
2019-09-04,14.791369212963,14.7514375
2019-09-05,15.5204328703704,15.4247407407407
2019-09-06,16.6612083333333,16.6249976851852
2019-09-07,14.8925462962963,14.935162037037
2019-09-08,14.1886979166667,14.2390625
2019-09-09,12.8437280092593,12.8995462962963
2019-09-10,10.2568726851852,10.2059583333333
2019-09-11,11.2735775462963,11.2110833333333
2019-09-12,13.0697280092593,13.0288252314815
2019-09-13,14.7829710648148,14.6814710648148
2019-09-14,12.3829907407407,12.3493587962963
2019-09-15,14.458337962963,14.4243657407407
2019-09-16,17.0262662037037,17.0440150462963
2019-09-17,10.1913194444444,10.2297453703704
2019-09-18,12.9921412037037,13.0381018518519
2019-09-19,16.8429976851852,16.7844907407407
2019-09-20,17.9513078703704,17.9024652777778
2019-09-21,19.4776388888889,19.395162037037
2019-09-22,18.6695138888889,18.6088541666667
2019-09-23,13.7658576388889,13.6672418981481
2019-09-24,12.2128761574074,12.1412627314815
2019-09-25,13.5586782407407,13.5497523148148
2019-09-26,17.0900925925926,17.0691666666667
2019-09-27,17.6475625,17.5966979166667
2019-09-28,15.0158229166667,14.8708171296296
2019-09-29,16.0650671296296,15.9921990740741
2019-09-30,15.1629050925926,15.16125
2019-10-01,15.799755787037,15.6320335648148
2019-10-02,16.3105127314815,16.1986087962963
2019-10-03,18.4715393518519,18.3126319444444
2019-10-04,19.8331284722222,19.8596643518519
2019-10-05,16.7593171296296,16.6971759259259
2019-10-06,19.5570486111111,19.4859953703704
2019-10-07,20.3148148148148,20.2644212962963
2019-10-08,17.3789930555556,17.3825810185185
2019-10-09,14.7263310185185,14.7295949074074
2019-10-10,14.846087962963,14.8114189814815
2019-10-11,13.2366666666667,13.204849537037
2019-10-12,13.1108101851852,13.0868518518519
2019-10-13,15.1181828703704,14.9848611111111
2019-10-14,17.4690162037037,17.3406828703704
2019-10-15,18.993275462963,18.8249884259259
2019-10-16,19.1929976851852,19.0811805555556
2019-10-17,19.7522916666667,19.7388888888889
2019-10-18,16.8405081018519,16.66290625
2019-10-19,16.9904571759259,17.0437372685185
2019-10-20,14.705380787037,14.5747465277778
2019-10-21,15.7435810185185,15.6003587962963
2019-10-22,17.702625,17.5872361111111
2019-10-23,21.0827199074074,20.9602430555556
2019-10-24,20.3071296296296,20.089912037037
2019-10-25,24.2100311418685,24.0292502883506
2019-10-26,23.7702314814815,23.6930324074074
2019-10-27,16.4959155092593,16.3106099537037
2019-10-28,15.5070891203704,15.3944305555556
2019-10-29,18.9025034722222,18.8184398148148
2019-10-30,21.1793865740741,21.0622222222222
2019-10-31,20.6844791666667,20.5109953703704
2019-11-01,20.3539560185185,20.3018055555556
2019-11-02,22.3822222222222,22.2896527777778
2019-11-03,22.3660763888889,22.3332986111111
2019-11-04,21.6147222222222,21.632337962963
2019-11-05,15.6585092592593,15.5313541666667
2019-11-06,19.3434282407407,19.3197615740741
2019-11-07,23.9141898148148,23.8346296296296
2019-11-08,20.6600810185185,20.7311226851852
2019-11-09,16.8650787037037,16.91809375
2019-11-10,18.9215625,18.8827083333333
2019-11-11,19.0219675925926,18.9675810185185
2019-11-12,23.6586886574074,23.7292106481481
2019-11-13,19.1671770833333,19.2464652777778
2019-11-14,18.749318287037,18.7013078703704
2019-11-15,22.9309270833333,22.9733842592593
2019-11-16,20.7057523148148,20.6928009259259
2019-11-17,19.388912037037,19.3977777777778
2019-11-18,20.8474884259259,20.7901157407407
2019-11-19,24.2371712962963,24.2819363425926
2019-11-20,21.2290740740741,21.2326273148148
2019-11-21,22.3474537037037,22.2683333333333
2019-11-22,20.4960532407407,20.4763194444444
2019-11-23,20.0515856481481,19.9818402777778
2019-11-24,20.4047800925926,20.421087962963
2019-11-25,23.648912037037,23.5686111111111
2019-11-26,23.7988425925926,23.7474305555556
2019-11-27,17.8772534722222,17.8770486111111
2019-11-28,20.2510497685185,20.2698773148148
2019-11-29,24.9604513888889,24.9893402777778
2019-11-30,20.5192592592593,20.4869097222222
