"Date","PPFD_Avg.1.","PPFD_Avg.2.","PPFD_Avg.3.","PPFD_Avg.4.","PPFD_Avg.5.","PPFD_Avg.6.","par.amb.mean","par.os.mean"
2019-07-31,272.345154929577,335.862450704225,351.292539906103,276.48585915493,279.390906103286,326.891234741784,10.5435275492958,11.5636901971831
2019-08-01,253.383902777778,325.113836805556,336.818177083333,277.749246527778,279.852420138889,314.205361111111,10.1693002083333,11.276175125
2019-08-02,239.193229166667,279.929947916667,291.822038194444,245.582329861111,255.581965277778,273.003461805556,9.213343875,9.80801179166667
2019-08-03,243.728843205575,305.711208333333,315.320017361111,269.784447916667,269.187357638889,295.290340277778,9.6984784934669,10.6897880833333
2019-08-04,235.889572916667,294.374944444444,304.195822916667,255.676951388889,253.314152777778,285.731829861111,9.29922666666667,10.250972625
2019-08-05,250.774378472222,320.685510416667,334.127333333333,273.949440972222,274.007451388889,310.066114583333,10.0181753333333,11.1451474166667
2019-08-06,273.972267361111,347.104104166667,356.595347222222,297.327993055556,293.284402777778,333.226309027778,10.80579575,12.0123293333333
2019-08-07,274.204607638889,345.8405625,357.888211805556,298.35821875,293.709152777778,332.481840277778,10.8047472083333,12.0250439166667
2019-08-08,258.056517361111,330.212875,342.697861111111,281.540930555556,277.131454861111,319.082934027778,10.251250875,11.45342
2019-08-09,281.454027874564,350.357552083333,364.134732638889,300.894216027875,294.793204861111,337.052520833333,10.9595970428281,12.1846380090012
2019-08-10,287.09713986014,357.716208333333,371.800527777778,304.659635416667,306.449652777778,344.70621875,11.259036136655,12.4101164583333
2019-08-11,230.411222222222,279.586864583333,293.655645833333,246.97340625,236.076128472222,271.495847222222,8.855798375,9.842591
2019-08-12,290.189642361111,357.846194444444,372.192829861111,302.198149305556,302.390243055556,346.7623125,11.272106375,12.3868460833333
2019-08-13,239.433215277778,295.434958333333,306.477131944444,252.715840277778,255.352076388889,286.280986111111,9.37279533333333,10.2555351666667
2019-08-14,267.166704861111,334.068277777778,347.915184027778,278.409319444444,280.543680555556,324.855003472222,10.4707846666667,11.524713375
2019-08-15,286.661451388889,367.559701388889,380.811666666667,306.449461805556,314.245878472222,355.537885416667,11.4773425833333,12.6578499583333
2019-08-16,297.544690972222,371.266003472222,386.025197916667,310.000888888889,317.481663194444,360.195649305556,11.7026640416667,12.8075050833333
2019-08-17,283.055725694444,353.584059027778,368.753368055556,302.970277777778,300.739590277778,342.890267361111,11.120227,12.3036924583333
2019-08-18,300.518875,374.695409722222,390.921888888889,316.159399305556,321.478045138889,364.359131944444,11.836272625,12.981320375
2019-08-19,288.630473867596,371.357920138889,388.127736111111,314.068670138889,323.214729166667,360.331708333333,11.6661229364111,12.8826519166667
2019-08-20,307.972554006969,389.679232638889,405.184065972222,330.140638888889,335.009211805556,378.718229166667,12.2603999397503,13.50004725
2019-08-21,306.511173611111,391.589475694444,407.561496527778,332.608333333333,332.970107638889,381.086399305556,12.2468121666667,13.5811116666667
2019-08-22,271.191020979021,339.141211805556,352.943451388889,294.406260416667,292.181298611111,330.290579861111,10.7239547934149,11.8378910833333
2019-08-23,321.076993055556,398.675791666667,415.372996527778,340.968027777778,337.548881944444,388.256555555556,12.5625891666667,13.8602017916667
2019-08-24,332.9013125,406.032625,425.24046875,351.421142361111,346.284340277778,394.647215277778,12.8859944166667,14.1923308333333
2019-08-25,325.947663194444,400.412451388889,415.955097222222,345.288243055556,338.308666666667,390.160194444444,12.6529982916667,13.9398695
2019-08-26,68.2572638888889,81.6845208333333,87.7339027777778,72.2168680555556,70.2001111111111,83.6095381944444,2.66480295833333,2.8996235
2019-08-27,181.371326388889,223.400597222222,238.881784722222,191.399045138889,188.524440972222,225.351788194444,7.14297066666667,7.844177125
2019-08-28,348.224868055556,407.824319444444,433.252597222222,361.990065972222,361.964256944444,407.703930555556,13.4147166666667,14.4368037916667
2019-08-29,85.11478125,102.375684027778,108.922986111111,89.5464166666667,87.2038958333333,103.725111111111,3.31252545833333,3.61014104166667
2019-08-30,86.0747048611111,100.949256944444,109.052708333333,90.6465520833333,87.2109305555555,103.694420138889,3.32376066666667,3.60778220833333
2019-08-31,186.15584375,223.001559027778,237.876003472222,199.120777777778,196.922590277778,224.969836805556,7.29657925,7.91998008333333
2019-09-01,370.424576388889,432.878701388889,456.243826388889,388.312805555556,385.847423611111,427.75953125,14.208378375,15.329224
2019-09-02,360.451427083333,431.101947916667,454.380361111111,383.016131944444,375.222256944444,426.008274305556,13.9401835,15.2219812916667
2019-09-03,347.508167247387,414.994399305556,441.539458333333,369.039399305556,365.033736111111,413.575673611111,13.5134109236353,14.7068790833333
2019-09-04,371.779111111111,442.86609375,466.823774305556,393.757163194444,389.256625,437.524423611111,14.3827219166667,15.641364375
2019-09-05,340.179857638889,404.740565972222,426.498857638889,359.411829861111,360.004229166667,400.1154375,13.2035942916667,14.2878150416667
2019-09-06,268.161336805556,332.006479166667,349.533034722222,288.86325,282.238479166667,330.537715277778,10.571250375,11.6448331666667
2019-09-07,358.599314487633,456.244697916667,480.70728125,405.796243902439,400.9189375,448.813902777778,14.4999858571849,16.1129786768293
2019-09-08,363.073823943662,451.439666666667,475.7533125,400.612458333333,398.858048611111,444.5619375,14.4779257206573,15.93366525
2019-09-09,337.561316901408,435.460118055556,458.048,386.507375,382.655864583333,428.340017361111,13.7826863861502,15.3601859166667
2019-09-10,357.374522648084,425.233107638889,447.202597222222,381.570451388889,383.362753472222,417.404715277778,13.897703896777,15.048073875
